"userName","numberOfTweets","url"
"ShivaMolabanti",42,"https://twitter.com/ShivaMolabanti"
"CreativeConstr",42,"https://twitter.com/CreativeConstr"
"mipphillips",42,"https://twitter.com/mipphillips"
"grattonboy",42,"https://twitter.com/grattonboy"
"Charly_BG",41,"https://twitter.com/Charly_BG"
"ds_vault",41,"https://twitter.com/ds_vault"
"Bineural",41,"https://twitter.com/Bineural"
"amolexis",41,"https://twitter.com/amolexis"
"grattongirl",41,"https://twitter.com/grattongirl"
"deejayiwan",40,"https://twitter.com/deejayiwan"
"kickstartAI",40,"https://twitter.com/kickstartAI"
"tarheelgis",40,"https://twitter.com/tarheelgis"
"futeye",39,"https://twitter.com/futeye"
"Francesco_AI",39,"https://twitter.com/Francesco_AI"
"3D_michelle",39,"https://twitter.com/3D_michelle"
"MachineCoding",39,"https://twitter.com/MachineCoding"
"pico",39,"https://twitter.com/pico"
"Adevi_ai",39,"https://twitter.com/Adevi_ai"
"harlechnnorfolk",38,"https://twitter.com/harlechnnorfolk"
"togreigi21",38,"https://twitter.com/togreigi21"
"BenefitRx",38,"https://twitter.com/BenefitRx"
"xemeto",38,"https://twitter.com/xemeto"
"paultaylor1001",37,"https://twitter.com/paultaylor1001"
"AltaStrategy",37,"https://twitter.com/AltaStrategy"
"StrategicFD",37,"https://twitter.com/StrategicFD"
"silverdata",37,"https://twitter.com/silverdata"
"deeplearning_kj",37,"https://twitter.com/deeplearning_kj"
"nabeelmahmood",36,"https://twitter.com/nabeelmahmood"
"BIG_DATA_News",36,"https://twitter.com/BIG_DATA_News"
"ArjFashions",35,"https://twitter.com/ArjFashions"
"davidsmilton",35,"https://twitter.com/davidsmilton"
"khenneker",35,"https://twitter.com/khenneker"
"fredcadena",35,"https://twitter.com/fredcadena"
"datagenius",34,"https://twitter.com/datagenius"
"RicardoUCP",34,"https://twitter.com/RicardoUCP"
"virginiakelly78",34,"https://twitter.com/virginiakelly78"
"yanapont",34,"https://twitter.com/yanapont"
"AnalystReport",33,"https://twitter.com/AnalystReport"
"amruthasuri",33,"https://twitter.com/amruthasuri"
"FirmaDIZET",33,"https://twitter.com/FirmaDIZET"
"_M_Dey",33,"https://twitter.com/_M_Dey"
"johnbikerjohn",33,"https://twitter.com/johnbikerjohn"
"SPINRcloud",32,"https://twitter.com/SPINRcloud"
"claudiomkd",32,"https://twitter.com/claudiomkd"
"nikki_conway_21",32,"https://twitter.com/nikki_conway_21"
"fintechdriver",31,"https://twitter.com/fintechdriver"
"pheonix1729",31,"https://twitter.com/pheonix1729"
"Digital_Brooke",31,"https://twitter.com/Digital_Brooke"
"kunlqt",31,"https://twitter.com/kunlqt"
"AMGAS14",31,"https://twitter.com/AMGAS14"
"DigitalLON",31,"https://twitter.com/DigitalLON"
"Michael__V",30,"https://twitter.com/Michael__V"
"MoneyhealthF",30,"https://twitter.com/MoneyhealthF"
"quicksoft",30,"https://twitter.com/quicksoft"
"kkanakas",30,"https://twitter.com/kkanakas"
"RickKing16",30,"https://twitter.com/RickKing16"
"jobsinai1",29,"https://twitter.com/jobsinai1"
"YottaDataTech",29,"https://twitter.com/YottaDataTech"
"sphoodnet",29,"https://twitter.com/sphoodnet"
"ecotwist",29,"https://twitter.com/ecotwist"
"julienfaury",29,"https://twitter.com/julienfaury"
"FrostAndFrostUS",29,"https://twitter.com/FrostAndFrostUS"
"dgskywalker",28,"https://twitter.com/dgskywalker"
"AmanyAtef",28,"https://twitter.com/AmanyAtef"
"arcticflea",28,"https://twitter.com/arcticflea"
"tchncllyspkng",28,"https://twitter.com/tchncllyspkng"
"kimberl87759219",28,"https://twitter.com/kimberl87759219"
"cyber_coleman",28,"https://twitter.com/cyber_coleman"
"TheDailyCrunch2",28,"https://twitter.com/TheDailyCrunch2"
"hyounpark",28,"https://twitter.com/hyounpark"
"stefkotwit",28,"https://twitter.com/stefkotwit"
"logisticsunit",28,"https://twitter.com/logisticsunit"
"LeeBogner",28,"https://twitter.com/LeeBogner"
"PHYSECTECH",28,"https://twitter.com/PHYSECTECH"
"echovoicesearch",28,"https://twitter.com/echovoicesearch"
"mhajim_central",27,"https://twitter.com/mhajim_central"
"goering_randy",27,"https://twitter.com/goering_randy"
"AlishaDamco",27,"https://twitter.com/AlishaDamco"
"Flavio58",27,"https://twitter.com/Flavio58"
"workonline44",27,"https://twitter.com/workonline44"
"NexLP_Inc",27,"https://twitter.com/NexLP_Inc"
"MichaelSDeVries",27,"https://twitter.com/MichaelSDeVries"
"AIofTheDay",27,"https://twitter.com/AIofTheDay"
"doctortetteh",27,"https://twitter.com/doctortetteh"
"ClementCharles",27,"https://twitter.com/ClementCharles"
"SocialFlu",27,"https://twitter.com/SocialFlu"
"wilsstar007",26,"https://twitter.com/wilsstar007"
"katsnelson",26,"https://twitter.com/katsnelson"
"kurt_cagle",26,"https://twitter.com/kurt_cagle"
"bomeshii46",26,"https://twitter.com/bomeshii46"
"ip4info",26,"https://twitter.com/ip4info"
"thehamidyasir",26,"https://twitter.com/thehamidyasir"
"tftb",26,"https://twitter.com/tftb"
"Ypifany_llc",26,"https://twitter.com/Ypifany_llc"
"jeffemmans",26,"https://twitter.com/jeffemmans"
"vio1965",26,"https://twitter.com/vio1965"
"secunoid",26,"https://twitter.com/secunoid"
"Atlanta_SEO_Pro",26,"https://twitter.com/Atlanta_SEO_Pro"
"AmancioBouza",26,"https://twitter.com/AmancioBouza"
"mzeid4real",26,"https://twitter.com/mzeid4real"
"Riaan_Kriel",26,"https://twitter.com/Riaan_Kriel"
"girardmaxime33",26,"https://twitter.com/girardmaxime33"
