"author","rank","avgSentiment","isOrganisation"
"TheIotWarehouse",0.6277766202492616,-0.005067240712074303,true
"Startup_Canada",0.5845515074804782,0,true
"HarbRimah",0.020483269871151632,0.039912280701754385,true
"7wData",0.004441197515402757,0.022222222222222223,true
"MedicaliPhone",0.0002642713809231161,0.042926864801864806,true
"workonline44",0.00013169145008842887,0.054437986256168074,true
"transhumanismAU",0.00011109785721175951,0.11428571428571428,true
"BIG_DATA_News",0.000041909236044028393,0.033257719042032764,true
"Claire_Harris82",0.0000242888962717085,0.013603355486429042,true
"Necio_news",0.00002241154015547367,0.08809523809523809,true
"ivrpowers",0.000009674615383495846,0.2226190476190476,true
"Softnet_Search",0.000006968214481050626,0.025826407333951043,true
"VizWorld",0.0000017207989212214336,0.09528740490278952,true
"EverLearnTweets",8.753241433466207e-7,-0.030158730158730156,true
"simplivllc",6.789946105957835e-7,0.13846153846153844,true
"ai_expo",6.687803236278597e-7,0.07469654528478058,true
"ittechbuz",2.760525222395664e-7,0.05314217032967033,true
"BrightPatternUS",1.6598044355605138e-7,0.15416666666666667,true
"amruthasuri",1.1192469901855844e-7,0.10230569430569432,true
"AspioneerBB",1.0385709489268191e-7,-0.047058823529411764,true
"ArjFashions",5.7724184872302925e-8,0.05961014294347628,true
"nGage_ETx",3.682342141595155e-8,0.05555555555555555,true
"fortivus",3.457401825807902e-8,0.026719322344322345,true
"dnjokerdotcom",2.5076603074021216e-8,0,true
"FrPolitics2017",2.3598859525794292e-8,0.04579538108949874,true
"DecisionsSmart",9.432862751792567e-9,0.07460495853352994,true
"SDGscameroon",7.369919503783935e-9,0.1613247863247863,true
"CMTcameramodule",6.5832116111172766e-9,0.1472858374118877,true
"thetechlearner",9.98076055858185e-10,0.1314756671899529,true
"hawkfx",1.788435863096883e-10,0.17050773300773303,true
"mind_senses",1.63048312756491e-10,0.05638200183654729,true
"PetronellaTech",1.4322542567254806e-10,-0.054312354312354316,true
"GamerGeekNews",1.2438550176433298e-10,0,true
"_innovascape",2.479093745157064e-11,0.04563492063492063,true
"aipeople_eu",1.1219210251259083e-11,0.03708791208791209,true
"AifinityHolding",5.7387154706778385e-12,0.10925447101917689,true
"welcomedwelling",4.050347602636376e-12,0.0414983164983165,true
"libre_ai",1.005793104721874e-12,0.01929292929292929,true
"FirmForum",1.6168227635060995e-14,0.034417665667665666,true
"yates_ltd",0,0.09710681475387357,true
"y2sconsulting",0,0.14835164835164835,true
"xlabsja",0,0.13333333333333333,true
"xemeto",0,0,true
"wellthlearning",0,0.1255827505827506,true
"welcomeai",0,0.030769230769230764,true
"vio1965",0,0.10560606060606062,true
"vfone24",0,0.14758852258852254,true
"varindiamag",0,0.10606060606060605,true
"unifiedcomp",0,0.11805555555555555,true
"unicomcorp",0,0.15445665445665444,true
"trendquest",0,0.16755793226381457,true
"tidyapp_data",0,0,true
"thepalmapp",0,0.16666666666666663,true
"thenerdscloset",0,0,true
"thebestofthelot",0,0.12723942723942724,true
"tensorflow_tut",0,0.009640961966543363,true
"tensorflow_guru",0,0.009640961966543363,true
"tensorflow_geek",0,0.003381191810943879,true
"tensorflow_fan",0,0.0033811918109438784,true
"tensorflow_devp",0,0.003986270140116295,true
"tensorflow_dev",0,0.0033811918109438776,true
"tekkaus",0,0.17948717948717952,true
"tecnbiz",0,0.16666666666666666,true
"techpitch4pt5",0,0.15384615384615385,true
"techUhuru101",0,0,true
"teampackersblr",0,0.11457875457875458,true
"talecco",0,0.08333333333333333,true
"synergetics1",0,0.09821428571428573,true
"syndicatedmaps",0,0.10032560032560033,true
"swisstorage",0,0.15705128205128205,true
"surfstudio",0,0.07516339869281045,true
"studentforce",0,0.007352941176470588,true
"stridegroup",0,0.13333333333333333,true
"stickyfx",0,0.143543956043956,true
"spotflock",0,0.06236583575737989,true
"solarsolnsteam",0,0.23076923076923078,true
"socialpluck",0,0.30493506493506495,true
"smartificialife",0,0.0673076923076923,true
"smartia_tech",0,0.028209290709290707,true
"slbootcamp",0,0.0909090909090909,true
"sjoerdapp",0,0.009533334312746075,true
"siamangltd",0,0.14285714285714285,true
"seven_questions",0,0.10254245238765364,true
"secureslinger",0,0.16317016317016317,true
"sdxtech",0,-0.010436507936507937,true
"sdxcentral",0,0.0309870582848524,true
"rpodyssey",0,0.14285714285714285,true
"rmvp_apac",0,0.15476190476190477,true
"rjmpccom",0,0.1359307359307359,true
"riverparkpsych",0,0.13333333333333333,true
"risorseumane_HR",0,0,true
"rienatwork",0,0.15695415695415693,true
"releaseman",0,0.16944444444444448,true
"quicksoft",0,0.1577797202797202,true
"quantumesque",0,0,true
"quantomstudios",0,0.19285714285714287,true
"prudentcloud",0,0.16359398177579995,true
"provisionlab",0,0,true
"procure_tweets",0,0.15178571428571425,true
"printspecial",0,0.14285714285714285,true
"presencemgmt",0,0.09523809523809523,true
"pixfan",0,0.16083916083916083,true
"pimonline",0,0.11188811188811189,true
"pamifloshop",0,0.15138565138565135,true
"ovate_cta",0,0.053418803418803416,true
"orlandorussian",0,0.023265997423300794,true
"open_sf",0,0.14285714285714285,true
"ontechuk",0,0.15384615384615383,true
"onmedicglobal",0,0.16666666666666666,true
"onmedic",0,0.125,true
"omnibs",0,0.061800428673493696,true
"omegapartners",0,0.14043956043956043,true
"odontologiacbba",0,0.13333333333333333,true
"nordicinst",0,0.024099511599511597,true
"newsgraphics",0,0.15079365079365079,true
"netweight_",0,0.03333333333333333,true
"netmedianer",0,0.14285714285714285,true
"netmarq",0,0.016931216931216932,true
"mydiscounttech",0,0.14389456697149006,true
"mycroft_ai",0,0.016158484081278197,true
"mybizon",0,0.14285714285714285,true
"mobildimension",0,0.126007326007326,true
"mhajim_central",0,0.14338042909471477,true
"mfavourite",0,0.1806818181818182,true
"merapps",0,0.16173570019723865,true
"machines_learn",0,0.003624946482089341,true
"machine_tuts",0,0.003653946053946055,true
"machiiicomp",0,0,true
"logisticsunit",0,0.14580347189042836,true
"logicearth",0,0.15384615384615385,true
"lobsters",0,0.07142857142857142,true
"linkedlocalnet",0,0.19318181818181815,true
"lhbalance",0,0.18444055944055943,true
"ledgeviewcrm",0,0.16025641025641024,true
"kpilibrary",0,0.10256410256410257,true
"kmarketing_",0,-0.041666666666666664,true
"kickstartAI",0,0.03427239795835621,true
"karategb",0,0.1465201465201465,true
"jpointon",0,0.058823529411764705,true
"jpeMEDIA",0,0.1878787878787879,true
"johncyclejohn",0,0.027065527065527062,true
"jdktechnologies",0,0,true
"itfdetectives",0,0.1357466063348416,true
"ipexl",0,0.15384615384615385,true
"ioteconomist",0,0,true
"introviz",0,0,true
"intelpsolutions",0,0.02865761689291101,true
"info_velocity",0,0.14285714285714285,true
"ineedmygadgetss",0,0.09903273809523809,true
"ihassociation",0,0.027777777777777776,true
"iccdesign",0,0.17424242424242425,true
"i_print_4u",0,0,true
"iBIOlinq",0,0.05641025641025641,true
"i4isp",0,0.16783216783216784,true
"hostingsap",0,0.0761790293040293,true
"hermitaurous",0,0.125,true
"hellotinman",0,0.0784313725490196,true
"hello10myth",0,0.13756798756798755,true
"healthcarebiz",0,0.15384615384615385,true
"hackernoon",0,-0.027084680025856504,true
"gotransmitdata",0,0.13966588966588966,true
"getengati",0,0,true
"gasnitriding",0,0.12480376766091049,true
"futurewrk",0,0.13736263736263732,true
"futureof_work",0,0.08255393503555268,true
"futuredeva",0,0.11858974358974358,true
"forwardsprint",0,0.14015808752650852,true
"fluturads",0,0.1615051615051615,true
"faircareproject",0,0.4375,true
"exelence_ou",0,0,true
"exchangecomms",0,0.14432234432234428,true
"euriun",0,0,true
"energyetc",0,0.14285714285714282,true
"emysharefeeling",0,0.16666666666666663,true
"embedded_comp",0,0.07518796992481203,true
"educ8able",0,0.1062937062937063,true
"ediscoverygroup",0,0.0784126984126984,true
"ecareplan",0,0,true
"easycaresystems",0,0.10492066413119044,true
"eXamScriptsCorp",0,0.1442113442113442,true
"dynemech",0,0.13333333333333333,true
"doctortetteh",0,0.09463869463869466,true
"dmarketingdepot",0,0.14835164835164835,true
"dkwonline",0,0.15018315018315018,true
"diligent_li",0,0.0829656862745098,true
"digitivy",0,0.14022435897435892,true
"digitalmatrix2",0,0.1538461538461538,true
"digiparentmag",0,0.15457875457875456,true
"digilowcost",0,0.15464743589743585,true
"diggernautcom",0,0.15775401069518713,true
"diSummit2019",0,0.09523809523809523,true
"dcwasia",0,0.1456043956043956,true
"datascientists",0,0.1510822510822511,true
"datarelish",0,0.13333333333333333,true
"datacompanyBE",0,0,true
"cybers_guards",0,-0.10267857142857142,true
"cryptonewsfeeds",0,-0.0625,true
"crypt_iq",0,0.15384615384615385,true
"criticalfuture",0,0.10271164021164021,true
"consultantshub",0,0.1339285714285714,true
"coluxtech",0,0.05760645604395604,true
"cognishift",0,0.05000000000000001,true
"cogniodigital",0,0.10765016233766234,true
"codealtos",0,0.09661172161172162,true
"clover_contact",0,0.1574074074074074,true
"cloudstratuk",0,0.125,true
"cloudastructure",0,0,true
"ciodashboard",0,0.125,true
"channelinside",0,0.16522692993281224,true
"cciinc1982",0,0.0989010989010989,true
"capo_ab",0,0.17826617826617827,true
"businessofgreen",0,0.14737484737484732,true
"bluesharklabs",0,0.16666666666666666,true
"blissitycom",0,0.19349206349206347,true
"binderag",0,0,true
"bellcloudlabs",0,0.10201465201465201,true
"battlefinmiami",0,0.16101055806938155,true
"baningo",0,0,true
"automotivespace",0,0.1696969696969697,true
"automationblues",0,0.04691358024691358,true
"atomiumtech",0,0.021323914181057033,true
"athenspc",0,0,true
"arturotpmntr",0,0.25808913308913306,true
"apolloenergies",0,0,true
"apexcb",0,0.12112332112332114,true
"angelbeat",0,0,true
"analytikus1",0,0.16666666666666666,true
"anadotchat",0,0.0954614013437543,true
"amolexis",0,0.054992319508448524,true
"amigic",0,0.1625874125874126,true
"altaempleo",0,0.16568047337278105,true
"aiweb_biz",0,0.08220147907647908,true
"aiticker",0,0.09624811463046756,true
"aisera_ai",0,0.2625,true
"airportbench",0,0.03333333333333333,true
"aeropediablog",0,0.15384615384615385,true
"aeStranger",0,0,true
"acceleradigital",0,0.030303030303030304,true
"_zeiner",0,0.14285714285714282,true
"__UBI__",0,0.1365079365079365,true
"_SageSolutions",0,0.25332167832167835,true
"_M_Dey",0,0.03670805029164162,true
"ZuzuDotAI",0,0.04339857383244437,true
"ZapAppIt",0,0.03333333333333333,true
"Yugasa_Sam",0,0.05714285714285714,true
"YugaByte",0,0.1111111111111111,true
"YottaDataTech",0,0,true
"YODspica",0,0,true
"Xprtly",0,0,true
"XcelQiu_Digital",0,0.15147198480531815,true
"WorldEscrow",0,0.11858974358974358,true
"Wire4Tech",0,0.1818181818181818,true
"WindowsITExp",0,0.1818181818181818,true
"Wetechcarrot",0,0.14285714285714285,true
"WeLinkTalent",0,0,true
"WWSWebservices",0,0.139894419306184,true
"WFCD",0,0.2967032967032967,true
"WDOInnovation",0,0.20454545454545453,true
"VyeProfessional",0,0.2222222222222222,true
"VrouwinMarCom",0,0.16783216783216784,true
"VisioneerIT",0,0.09999999999999999,true
"VirtualVA1",0,0,true
"VirtualAsstCo",0,0,true
"Virthinking",0,0.14285714285714285,true
"ViSolve_Inc",0,0.15384615384615385,true
"VentureBeat",0,-0.05263157894736842,true
"VacoSeattle",0,0.18215488215488218,true
"V1Worldwide",0,0.034722222222222224,true
"UnpluggingCa",0,0,true
"UnmannedSystem",0,0,true
"UnitooInc",0,0.0909090909090909,true
"UK_CIF",0,0.09206349206349206,true
"Twinybots",0,0.07892107892107893,true
"TutsGFX",0,0.14285714285714285,true
"Trust2Pay",0,0,true
"TrueReply",0,0.11363636363636363,true
"TrionData",0,0.1661181955299602,true
"TrinityWebWorks",0,0,true
"Treadstone71LLC",0,0.17016317016317015,true
"TotalOneGroup",0,0.04395604395604396,true
"ThisOnline_Co",0,0,true
"TheiMums",0,0.16456876456876457,true
"The_CDA",0,0.06904761904761905,true
"TheWriteCure",0,0.1070652173913044,true
"TheSpaceCentre",0,0.14395604395604394,true
"TheScopeWeekly",0,0.14510489510489513,true
"TheOrganicView",0,0.13333333333333333,true
"TheHealDocs",0,0.14454775993237529,true
"TheDataSafe",0,0.1278787878787879,true
"TheDataMedia",0,0,true
"TheDailyCrunch2",0,0.17124920534011437,true
"TheDMPL",0,0.14385614385614384,true
"TheCircleSpaSE1",0,0.11764705882352941,true
"ThGadgetReviews",0,0.12937062937062938,true
"Test_Harness",0,0.16083916083916083,true
"TechsInaSec",0,0.14285714285714282,true
"TechniLogic",0,0.16666666666666666,true
"TechSansar",0,0.16200466200466201,true
"TechNEXA_Global",0,0.10340909090909092,true
"Teamcoders15",0,0.0821788067005459,true
"TboltProducts",0,0.17719780219780215,true
"TasletCom",0,0.1818181818181818,true
"TalentCrew",0,0.0704656862745098,true
"TXInvestMart",0,0,true
"TSF_SouthAfrica",0,0.16666666666666666,true
"TIMBERPROUK",0,0.15384615384615388,true
"THInsight1",0,0.062031106148753214,true
"TGC_Consultants",0,0.14285714285714282,true
"TDKTechnologies",0,0.14285714285714285,true
"TAGanrel",0,0.15231990231990233,true
"SwissNetInc",0,0.12857142857142853,true
"SuccessntheCity",0,0,true
"StupidcatDesign",0,0.06060606060606061,true
"StorageCraft",0,-0.02982456140350877,true
"StateofGlobe",0,0.13412698412698412,true
"StartupPosts",0,0.1111111111111111,true
"StandardofTrust",0,0.2302197802197802,true
"SpazioLavoro",0,0.18181818181818185,true
"Solution_System",0,0.09523809523809523,true
"SocialRaceMedia",0,0.15384615384615385,true
"SocialMars",0,0.03125,true
"SmartbotsAI",0,0.06051587301587301,true
"Smart_IoT",0,0.056007051943584456,true
"SmartBelfast",0,0.0849150849150849,true
"SkunqIA",0,0.10916860916860918,true
"SftwreLogistics",0,0.13319597069597067,true
"SelwynMilborrow",0,0.1634615384615385,true
"SchoolMars_UK",0,0.08333333333333333,true
"STEAMCentreUK",0,0.05555555555555555,true
"SSBarristers",0,0.18181818181818182,true
"SPIRE_EU",0,0.2494505494505494,true
"SPINRcloud",0,0.02192997115113988,true
"SKGInfosolution",0,0.09487179487179487,true
"SIMMinnesota",0,0.12244897959183672,true
"SFDispatch",0,0.07142857142857141,true
"SESTIproject",0,0.1818181818181818,true
"SCIP",0,0.1365079365079365,true
"SASsoftware",0,0.125,true
"SAS_Reliability",0,0.39160839160839167,true
"Rocket_Cl",0,0.06666666666666667,true
"RishabhSoft",0,0.07936507936507936,true
"RetroSheeps",0,0.11149267399267399,true
"RetinaGlobal1",0,0.14285714285714282,true
"RenewWorld",0,0.16666666666666666,true
"RayvatAccounts",0,0.1271585557299843,true
"RaptorUAS",0,0.13422291993720564,true
"RaptorPMS",0,0.10154660154660154,true
"RankVisibility",0,0.16,true
"RangerSewer",0,0.16666666666666666,true
"REDITUK",0,0,true
"QuantworksInc",0,0.125,true
"PulsePublish",0,0.2625730994152046,true
"PublirisDigital",0,0.07413003663003662,true
"PropriusSearch",0,0.15514820231315077,true
"Pro_Adviser",0,0.35714285714285704,true
"ProBonoOR",0,0,true
"PrimeClasses2",0,0.1875,true
"PrimassureGIB",0,0.15384615384615385,true
"PressFinance",0,0.02631578947368421,true
"PremierRapport",0,0.1714285714285714,true
"PrefResSTL",0,0.1875,true
"PredictableData",0,0.19131728486567204,true
"PortalLingua",0,0.03333333333333333,true
"Polyglottos_",0,-0.08012820512820512,true
"ParapointCorp",0,0.14285714285714285,true
"Pagefreezer_nl",0,0.15384615384615385,true
"PacktPub",0,-0.025,true
"POTENTL",0,0,true
"PD_MobileApps",0,0.015604670382728754,true
"PCA_Robotics",0,0.15757575757575754,true
"PAY_Symposium",0,0.09435227082285905,true
"Oysta_uk",0,0.17619047619047618,true
"Outliers9",0,0.05341880341880342,true
"OrigamiEng",0,0.15384615384615385,true
"OracleIMC",0,0.12708333333333333,true
"OpineMediaGroup",0,0.1806818181818182,true
"OpenWorkAgency",0,0,true
"OneWiretweets",0,0.15384615384615385,true
"OneTestSolution",0,0.15814954276492738,true
"OneSysLtd",0,0.041666666666666664,true
"Office365Wales",0,0.03205128205128205,true
"OHT_Manchester",0,0.041666666666666664,true
"NvrWrk",0,0.07142857142857142,true
"Novidea_soft",0,0.14285714285714285,true
"NovaTechCons",0,0.15436415436415432,true
"NorthStarERP",0,0.13333333333333333,true
"NextBigThingTH",0,-0.029411764705882353,true
"NexoInc",0,0.14719594131358837,true
"NexLP_Inc",0,0.1338106338106338,true
"Nanobot_Tech",0,0.1547619047619047,true
"NIFTIT",0,0,true
"NCTA",0,0.13333333333333333,true
"MyPocketPAnews",0,0.14468864468864465,true
"MyLangOnline",0,0.14285714285714285,true
"MyJavaIn",0,0,true
"MyFractionalCIO",0,0.14534485122720417,true
"MyBizREP",0,0,true
"MuseumofRobots",0,0.14285714285714285,true
"MourneCloud",0,0.14599686028257455,true
"Mobiviki",0,0.15384615384615385,true
"MiniScreenWeb",0,0.1488095238095238,true
"Mindseye_TV",0,0.1495582848524025,true
"Michael__V",0,0.13864541255845603,true
"MetroCareer",0,0.1488095238095238,true
"Meerophoto",0,0.10277777777777777,true
"MastersConf",0,0.11648351648351647,true
"Markzware",0,0.125,true
"MarketingTechSE",0,0.09795918367346938,true
"Marketing4Ucom",0,0.027777777777777776,true
"Marketeerco",0,0.13499025341130602,true
"MaestriH2020",0,0.13247145011850892,true
"MYWEBS_AU",0,0.13986013986013984,true
"MOOCsNews",0,0,true
"MJRLearning",0,0.06568268332974214,true
"MIISA_Innovate",0,0.16346153846153844,true
"LunaticAI_",0,0.009740259740259744,true
"Loom_Systems",0,0.45833333333333337,true
"LogicBSL",0,0,true
"LocalElixir",0,0.14285714285714285,true
"LinathInfotech",0,0,true
"LesEnfant",0,0.15638906547997458,true
"LemonOperations",0,0.17132867132867136,true
"LeapFrogSystems",0,0.2361111111111111,true
"LandisComm",0,0.0369047619047619,true
"LStelconsult_fr",0,0.16025641025641024,true
"LCO_CDO",0,0.03333333333333333,true
"KnowThyProf",0,0.10101010101010104,true
"KeyenceInsights",0,0.02857142857142857,true
"KairosMds",0,0.15384615384615385,true
"KOBN",0,0.11971361971361973,true
"KJPCreative",0,0.14285714285714285,true
"JoinTech2025",0,0.06904761904761905,true
"JellyfishRandD",0,0.10066137566137565,true
"InnovationIncu",0,0.02294543063773833,true
"InfoProNetwork",0,-0.00010683760683760646,true
"IndianaMomBlogs",0,0.1615051615051615,true
"IlluminatusTech",0,0.13445378151260504,true
"Ideomed",0,0.16239316239316237,true
"ITRecruitment",0,0,true
"ITOL",0,0.16951871657754009,true
"IBXOutsourcing",0,0.09090909090909091,true
"IAMCP_DC",0,0.10714285714285714,true
"I3A_Updates",0,0.09166666666666667,true
"HumainResources",0,0.1442307692307692,true
"Hixsons",0,0.08333333333333333,true
"Hire_db",0,0.14262820512820512,true
"HiddenGeniusHQ",0,0,true
"HarveyNashGroup",0,0,true
"HRfluence",0,0.05158730158730159,true
"HRVirginia1",0,0.16456876456876457,true
"HRM_Recruitment",0,0.1020408163265306,true
"HG_TechnologyUK",0,0.1411764705882353,true
"GrupoTreinar",0,0,true
"GrowthHackTalks",0,0.3251134830082198,true
"GoWebSTO",0,0.05608974358974359,true
"GnowiseInc",0,0,true
