userName,numberOfTweets,url,isOrg,
minsehira72,43,https://twitter.com/minsehira72,NA ,account has been blocked
ShivaMolabanti,42,https://twitter.com/ShivaMolabanti,0,
CreativeConstr,42,https://twitter.com/CreativeConstr,1,
mipphillips,42,https://twitter.com/mipphillips,0,
grattonboy,42,https://twitter.com/grattonboy,0,
Charly_BG,41,https://twitter.com/Charly_BG,0,
ds_vault,41,https://twitter.com/ds_vault,0,
Bineural,41,https://twitter.com/Bineural,1,
amolexis,41,https://twitter.com/amolexis,1,
grattongirl,41,https://twitter.com/grattongirl,0,
deejayiwan,40,https://twitter.com/deejayiwan,0,
kickstartAI,40,https://twitter.com/kickstartAI,1,
tarheelgis,40,https://twitter.com/tarheelgis,0,
futeye,39,https://twitter.com/futeye,0,
Francesco_AI,39,https://twitter.com/Francesco_AI,0,
3D_michelle,39,https://twitter.com/3D_michelle,NA,account has been blocked
MachineCoding,39,https://twitter.com/MachineCoding,0,
pico,39,https://twitter.com/pico,0,
Adevi_ai,39,https://twitter.com/Adevi_ai,1,
harlechnnorfolk,38,https://twitter.com/harlechnnorfolk,0,
togreigi21,38,https://twitter.com/togreigi21,NA,account has been blocked
BenefitRx,38,https://twitter.com/BenefitRx,1,
xemeto,38,https://twitter.com/xemeto,1,
paultaylor1001,37,https://twitter.com/paultaylor1001,0,
AltaStrategy,37,https://twitter.com/AltaStrategy,0,
StrategicFD,37,https://twitter.com/StrategicFD,0,
silverdata,37,https://twitter.com/silverdata,0,
deeplearning_kj,37,https://twitter.com/deeplearning_kj,NA,account has been blocked
nabeelmahmood,36,https://twitter.com/nabeelmahmood,0,
BIG_DATA_News,36,https://twitter.com/BIG_DATA_News,1,
ArjFashions,35,https://twitter.com/ArjFashions,1,
davidsmilton,35,https://twitter.com/davidsmilton,0,
khenneker,35,https://twitter.com/khenneker,0,
fredcadena,35,https://twitter.com/fredcadena,0,
datagenius,34,https://twitter.com/datagenius,0,
RicardoUCP,34,https://twitter.com/RicardoUCP,0,
virginiakelly78,34,https://twitter.com/virginiakelly78,NA,account has been blocked
yanapont,34,https://twitter.com/yanapont,0,
AnalystReport,33,https://twitter.com/AnalystReport,1,
amruthasuri,33,https://twitter.com/amruthasuri,1,
FirmaDIZET,33,https://twitter.com/FirmaDIZET,1,
_M_Dey,33,https://twitter.com/_M_Dey,1,
johnbikerjohn,33,https://twitter.com/johnbikerjohn,0,
SPINRcloud,32,https://twitter.com/SPINRcloud,1,
claudiomkd,32,https://twitter.com/claudiomkd,0,
nikki_conway_21,32,https://twitter.com/nikki_conway_21,NA,account has been blocked
fintechdriver,31,https://twitter.com/fintechdriver,0,
pheonix1729,31,https://twitter.com/pheonix1729,0,
Digital_Brooke,31,https://twitter.com/Digital_Brooke,NA,account has been blocked
kunlqt,31,https://twitter.com/kunlqt,0,
AMGAS14,31,https://twitter.com/AMGAS14,0,
DigitalLON,31,https://twitter.com/DigitalLON,1,
Michael__V,30,https://twitter.com/Michael__V,1,
MoneyhealthF,30,https://twitter.com/MoneyhealthF,0,
quicksoft,30,https://twitter.com/quicksoft,1,
